127.0.0.1 - - [18/May/2022:17:52:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/May/2022:17:52:40 +0900] "GET /Semi/ HTTP/1.1" 200 11156
0:0:0:0:0:0:0:1 - - [18/May/2022:17:52:40 +0900] "GET /Semi/views/admin-css/admin_style_content.css HTTP/1.1" 200 589
0:0:0:0:0:0:0:1 - - [18/May/2022:17:52:40 +0900] "GET /Semi/views/admin-css/admin_style_header.css HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [18/May/2022:17:52:40 +0900] "GET /Semi/views/image/DsSports.png HTTP/1.1" 200 4494
0:0:0:0:0:0:0:1 - - [18/May/2022:17:52:40 +0900] "GET /Semi/views/image/down_triangle.png HTTP/1.1" 200 10243
0:0:0:0:0:0:0:1 - - [18/May/2022:17:52:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/May/2022:17:52:41 +0900] "GET /Semi/views/image/triangle.png HTTP/1.1" 200 10237
0:0:0:0:0:0:0:1 - - [18/May/2022:17:52:42 +0900] "GET /Semi/views/admin/d_2.jsp HTTP/1.1" 200 15965
0:0:0:0:0:0:0:1 - - [18/May/2022:17:52:42 +0900] "GET /Semi/views/admin-css/admin_a_3.css HTTP/1.1" 200 2113
0:0:0:0:0:0:0:1 - - [18/May/2022:17:52:42 +0900] "GET /Semi/views/image/search.png HTTP/1.1" 200 12367
0:0:0:0:0:0:0:1 - - [18/May/2022:17:52:43 +0900] "GET /Semi/views/admin/d_1.jsp HTTP/1.1" 200 15511
0:0:0:0:0:0:0:1 - - [18/May/2022:17:52:43 +0900] "GET /Semi/views/admin-css/admin_a_1.css HTTP/1.1" 200 1932
